model,event_id,true_label,pred_label,pred_conf,logits,reasoning,latency_sec,actor_norm,notes
conflibert,NIG38655,B,B,0.5542744398117065,,,0.01,Black Axe (Nigeria),"On 14 August 2024, the Aye (Black Axe) and the Eiye clashed and killed one person at Oki Olodo (Lagelu, Oyo)."
conflibert,NIG36879,B,V,0.5295677781105042,,,0.01,Police Forces of Nigeria (2023-),"On 20 June 2024, the police raided a hideout of an unidentified armed group along the Edje Kota-Ogor Communities axis in Ughelli North LGA, coded to Oviri-Ogor (Delta). The armed group, suspected of planning an abduction, opened fire at the police, and a gunfight ensued, which resulted in the death of one member of the armed group. Others escaped. The police recovered two Beretta pistols and five rounds of live ammunition."
conflibert,NIG31278,V,B,0.5457372665405273,,,0.01,Zurmi Communal Militia (Nigeria),"On 30 April 2023, a local defense militia killed two Fulani men at Dauran market (Zurmi, Zamfara) over suspicion that they belonged to a Zamfara militia based on their ethnicity."
conflibert,NIG23533,R,B,0.5138007402420044,,,0.01,Rioters (Nigeria),"On 29 January 2022, a mob killed two suspected armed robbers at the Mbga-Bano-Umuaka road, Nkwerre LGA (Imo), it was claimed the victims tried to rob a motorcyclist, they were beaten and burnt alive."
conflibert,NIG21339,R,B,0.513475239276886,,,0.01,Rioters (Nigeria),"On 13 July 2021, members of the APC beat and injured a bailiff attached to the Ogun State High Court in Iperu (Ikenne LGA, Ogun) during a dispute over a primary election's winner in the region."
conflibert,NIG22127,P,V,0.5145553946495056,,,0.01,Protesters (Nigeria),"On 29 September 2021, scores of sawmillers protested in Abeokuta (Abeokuta South, Ogun) over the release of an alleged illegal tree feller by the police."
conflibert,NIG35690,B,V,0.5367175936698914,,,0.01,Military Forces of Nigeria (2023-),"On 22 March 2024, Nigerian troops in clearance operations attacked BH/IS enclaves in Bula Dalo, Bula Dalo extension and Yamanci, coded to Bama (Bama, Borno) and Ngurusoye, Mairamri 1 and 2, Sabon Gari, Gargaji coded separately. The military rescued seventy-eight hostages, comprising thirty-five women and forty-three children. At least five militiamen were killed in the operation. Five fatalities split across six events coded as 1."
conflibert,NIG32216,P,B,0.5021262168884277,,,0.01,Protesters (Nigeria),"On 2 August 2023, hundreds of NLC and TUC members protested in Asaba (Oshimili South, Delta) against the removal of fuel subsidy and its attendant effects on the economy. The protest was organized by the NLC and held across the country."
conflibert,NIG33280,B,V,0.5068393349647522,,,0.01,Islamic State West Africa Province (ISWAP),"On 18 October 2023, ISWAP claimed to have attacked a checkpoint belonging to a 'militia loyal to the Nigerian Army' (suspected to be CJTF) in Kanama (Yunusari, Yobe). ISWAP burned the checkpoint after the militia withdrew. There were no fatalities."
conflibert,NIG20229,B,V,0.5714848637580872,,,0.01,Police Forces of Nigeria (2015-2023),"On 24 March 2021, a Benue communal militia associated with Gana attacked traders in Abaji Market (Katsina-Ala LGA, Benue) but were repelled by Nigerian security operatives. Community sources report at least four persons were killed. Police sources on the other hand report one person was killed."
conflibert,NIG20664,V,B,0.5272648930549622,,,0.01,Fulani Ethnic Militia (Nigeria),"On 8 May 2021, Fulani pastoralists attacked and assaulted three farmers at Afoyin in Erin Ile (Offa LGA, Kwara). Event related to the farmer-pastoralist conflict."
conflibert,NIG24516,B,V,0.5640676617622375,,,0.01,Military Forces of Nigeria (2015-2023),"Around 14 April 2022 (between 11 - 16 April), Nigerian forces, the MNJTF and Civilian JTF carried out air and land operations against ISWAP/ Boko Haram camps across several locations, including Fedondiya (Abadan, Borno), Marte, Guzamala, Gwoza and Ngala LGAs (coded separately). Islamist militia's goods and military equipment was destroyed and an unspecified number of abductees, most of whom were women and children, were rescued. Scores to hundreds of militants, including 10 commanders, were killed across different locations. 20 fatalities split across ten events, coded as 2 for this event."
conflibert,NIG35156,E,V,0.5867154598236084,,,0.01,Military Forces of Nigeria (2023-),"On 20 February 2024, the Nigerian Airforce launched airstrikes on Boko Haram spotted moving on motorcycles around the Bula Korege side of Sambisa Forest in Bama LGA, coded to Bama (Bama, Borno). An unknown number of Boko Haram fighters were killed. Unspecified fatalities, coded as 10."
conflibert,NIG22019,V,V,0.550820529460907,,,0.01,Sokoto Communal Militia (Nigeria),"On 19 September 2021, a Sokoto miltia attacked civilians including women and children in Saminaka village, along the Bale-Tangaza road (Tangaza, Sokoto), coded to Gidan Madi. Six people were killed in the attack, which was reportedly a reprisal for the armed group members that were killed by residents of Tangaza LGA (coded separately)."
conflibert,NIG20281,B,B,0.5066608190536499,,,0.01,Military Forces of Nigeria (2015-2023),"Around 29 March 2021 (as reported), Nigerian military troops clashed with Boko Haram fighters (assumed JAS) along Njimia Alafa - axis of Sambisa Forest (Gwoza LGA, Borno), killing seven JAS fighters and recovering weapons, ammunition, and IED materials."
conflibert,NIG26073,B,V,0.5260062217712402,,,0.01,Military Forces of Nigeria (2015-2023),"On 13 August 2022, Nigerian troops during a clearance operation intercepted and clashed with Boko Haram/ ISWAP militants at Ngwom (Mafa, Borno). The militants were enroute to rustle cattle from pastoralists in the general area, three militants were killed."
conflibert,NIG17458,B,V,0.5937377214431763,,,0.01,Police Forces of Nigeria (2015-2023) Special Anti-Robbery Squad,"Around 17 June 2020 (week of), officers of the Federal Special Anti-Robbery Squad attacked police officers in Ughelli (Ughelli North LGA, Delta). 7 police officers were reportedly killed. The reason for the clash is not yet known."
conflibert,NIG29957,S,V,0.6262233257293701,,,0.01,Unidentified Armed Group (Nigeria),"Property destruction: On 12 February 2023, an unidentified armed group set ablaze the high court at Oguta (Oguta, Imo). The assailants shot sporadically at the premises, some parts of the court were affected by the fire."
conflibert,NIG21411,P,B,0.5073583126068115,,,0.01,Protesters (Nigeria),"On 19 July 2021, Abia State College of Education (Technical) workers took to the streets of Arochukwu (Arochukwu LAG, Abia) in a demonstration to demand the payment of late wages."
conflibert,NIG33915,R,B,0.5050406455993652,,,0.01,Rioters (Nigeria),"Around 1 December 2023 (as reported), the Ngbo youths attacked and beat the Ajile traders in the Okwo-ngbo market in the Ngbo community (Ohaukwu, Ebonyi) for unclear reasons. There was panic in the market, and the traders deserted, fearing the attack could reignite a hundred-year-old communal clash that had just been resolved between the two communities."
conflibert,NIG31180,B,V,0.5324654579162598,,,0.01,Military Forces of Nigeria (2015-2023),"On 21 April 2023, Nigerian troops clashed with suspected IPOB militants when they raided their camps within 9th Mile (Udi, Enugu) and Nkanu East LGA [coded separately]. One militant was killed, 7 others were arrested, the makeshift camps were destroyed and other items were recovered. Fatality split across 2 events, coded to 0."
conflibert,NIG20666,B,V,0.5268434286117554,,,0.01,Police Forces of Nigeria (2015-2023),"Around 8 May 2021 (as reported), unidentified gunmen clashed with Nigerian police operatives at Ikwere LGA (Ikwerre) (Rivers) [coded to Isiokpo], killing two policemen. Property damage also reported."
conflibert,NIG22325,V,V,0.5291851162910461,,,0.01,Zamfara Communal Militia (Nigeria),"On 19 October 2021, suspected militia members abducted the brother in-law of a former governor of Zamfara and his neighbor in Talata Mafara (Talata Mafara, Zamfara). There are no reports about ransom demands yet."
conflibert,NIG38683,S,V,0.643012523651123,,,0.01,Military Forces of Nigeria (2023-),"Weapons seizure: Around 23 September 2024 (as reported), the Nigerian military and the police intercepted a vehicle and seized 178 rounds of 7.62 mm (Special) ammunition after a stop-and-search operation in Kugbo (Abuja Municipal, FCT). The troops arrested the suspects."
conflibert,NIG16788,E,V,0.54015052318573,,,0.01,Military Forces of Nigeria (2015-2023),"On 16 April 2020, Nigerian Airforce conducted air strikes against a camp of Boko Haram (JAS) in Sambisa Forest (Borno, Gwoza). The camp was destroyed and 'scores' of BH fighters were reported killed. Unknown number of fatalities coded as 10."
conflibert,NIG30708,B,B,0.5245094299316406,,,0.01,Military Forces of Nigeria (2015-2023),"On 27 March 2023, troops of 112 task force battalion, 199 special force battalion, hunters and civilian JTF clashed with Boko Haram fighters [JAS faction] during a fighting patrol at Gavaya Modu, Gujuri, Daimalari and Dogumba villages (Mafa, Borno). Many militants were killed, fatalities coded as 10."
conflibert,NIG28315,V,V,0.5253998041152954,,,0.01,Unidentified Cult Militia (Nigeria),"On 5 December 2020, unidentified armed men, presumed members of a cult gang, attacked and killed and anti-cult commander in Kwale axis, Ndokwa West LGA, Delta State."
conflibert,NIG38576,V,V,0.5428974628448486,,,0.01,Niger Communal Militia (Nigeria),"On 28 August 2024, a Niger militia attacked and injured a man and abducted his daughter in the New Bwari community (Tafa, Niger). The hostage was rescued by the Nigerian soldiers at a checkpoint around 16 September 2024 when they intercepted the militia's vehicle fleeing an offensive in Kagarko LGA. The hostage exposed his abductors at the checkpoint and was rescued."
conflibert,NIG25188,P,V,0.5618457794189453,,,0.01,Protesters (Nigeria),"On 3 June 2022, policemen disrupted a protest by relatives of the victims of Kaduna train attack who wanted to march to the National Assembly from Unity Fountain in Abuja (Abuja Municipal, FCT). The police claimed they were not notified about the protest."
conflibert,NIG34685,B,V,0.5334335565567017,,,0.01,Military Forces of Nigeria (2023-),"On 21 January 2024, Nigerian troops ambushed and killed a Boko Haram (JAS) fighter in Luskori, coded to Konduga (Konduga, Borno). Another one escaped with gun wounds. The military recovered an AK 47 rifle. There was one fatality."
conflibert,NIG32637,B,B,0.5121768712997437,,,0.01,Military Forces of Nigeria (2023-),"On 5 August 2023, troops of Operation Hadarin Daji who were on patrol engaged a Zamfara militia in an armed clash at Gidan Jaja in Zurmi LGA (Zamfara). The militia fled, some with possible gunshot wounds and 11 motorcycles were recovered by the troops."
conflibert,NIG25667,B,V,0.5987028479576111,,,0.01,Military Forces of Nigeria (2015-2023),"On 19 July 2022, security operatives (assumed military) clashed with a Kaduna militia at Kidunu in Chikun LGA (Kaduna). One militia member was killed, two rifles, motorcycles, charms and amulets were recovered."
conflibert,NIG19627,B,B,0.5102410316467285,,,0.01,Military Forces of Nigeria (2015-2023),"On 29 January 2021, Nigerian military troops with MNJTF forces clashed with Boko Haram fighters at Buwari Village along the Gwoza-Pulka Highway (Bama LGA, Borno), killing seven fighters, including a top Boko Haram commander."
conflibert,NIG30929,R,V,0.5583832263946533,,,0.01,Rioters (Nigeria),"On 10 April 2023, a mob killed a driver in Ijoka axis of Akure (Akure South, Ondo) after his vehicle skidded off the road, hit and killed four persons. The victim was accused of being an internet scammer after some sympathizers found fetish items inside his car which was set ablaze. Policemen arrived at the scene and took him away after he was beaten to a coma and then later died."
conflibert,NIG24682,B,V,0.5269926190376282,,,0.01,Military Forces of Nigeria (2015-2023),"On 26 April 2022, Nigerian troops in conjunction with the Civilian JTF clashed with ISWAP/ Boko Haram fighters during a clearance operation at Kasha in Mafa LGA (Borno). Six militants were killed, weapons and ammunition, amongst others items were recovered."
conflibert,NIG26514,B,V,0.5191157460212708,,,0.01,Military Forces of Nigeria (2015-2023),"Around 6 October 2022 (as reported), troops of Operation Whirl Stroke invaded a hideout and clashed with an unidentified armed group at Otukpa community (Ogbadibo, Benue). Two members of the armed group were killed, while others escaped with gunshot wounds."
conflibert,NIG34063,P,B,0.5323174595832825,,,0.01,Protesters (Nigeria),"On 5 December 2023, residents of Abuja communities under the aegis of Concerned Abuja Residents conducted a solidarity rally and marched in Wassa (Gwagwalada, FCT) and Madala to show support to governors of Northern states whose elections were being challenged."
conflibert,NIG32683,V,V,0.5095652937889099,,,0.01,Unidentified Armed Group (Nigeria),"On 13 September 2023, an unidentified armed group abducted a female corp member in Eku (Ethiope East, Delta) while travelling to visit her fiance. The abductor demanded a 5 million naira ransom for her release."
conflibert,NIG22362,E,V,0.5447587370872498,,,0.01,Military Forces of Nigeria (2015-2023),"On 20 October 2021, the Nigerian air force carried out airstrikes against Boko Haram/ISWAP militants, targeting 20 insurgent boats converging in Tumbun on Lake Chad and Malam Fatori (Abadan, Borno). Scores of militants were killed, coded as 20."
conflibert,NIG16484,P,V,0.5070306658744812,,,0.01,Protesters (Nigeria),"On 3 March 2020, teaching staff of the Obafemi Awolowo University demonstrated at the Senate in Ile-Ife (Ife Central LGA, Osun) over their removal from the institution's payroll."
conflibert,NIG25152,V,V,0.510779857635498,,,0.01,Unidentified Armed Group (Nigeria),"On 5 June 2022, unidentified armed individuals killed two pastoralists in Abeokuta (Abeokuta South, Ogun) for refusing to redirect their cows from grazing at the Adehun axis. Four persons were arrested in connection with the attack."
conflibert,NIG21426,P,B,0.5196343660354614,,,0.01,Protesters (Nigeria),"On 21 July 2021, Aghoro 2 community residents took to the streets in the Iduwini Kingdom in the Ekermor LGA (Bayelsa) [coded Ekeremor] in a demonstration against, what they stated, is the moves by the state government to impose a monarch on them. The group claims to have chosen another ruler."
conflibert,NIG37652,B,V,0.52181476354599,,,0.01,Military Forces of Nigeria (2023-),"On 19 July 2024, the Nigerian troops, in conjunction with the Hybrid Forces and CJTF, clashed with Boko Haram fighters while on a fighting patrol in the Kashimeri general area (Bama, Borno). They shot and killed nine Boko Haram fighters and rescued three women and two children. They recovered three empty magazines, two hand grenades, a Boko Haram flag, and a motorcycle."
conflibert,NIG37149,V,B,0.5387613773345947,,,0.01,Plateau Communal Militia (Nigeria),"On 1 June 2024, a Plateau militia waylaid two Rigwe youths on a motorcycle while returning from the Gero mining site, coded to Gero (Jos South, Plateau). They killed one of the victims and injured the other."
conflibert,NIG22555,V,B,0.507296621799469,,,0.01,Police Forces of Nigeria (2015-2023) NSCDC: Nigeria Security and Civil Defence Corps,"On 10 November 2021, a NSCDC officer shot and wounded a man for urinating within the corps' premises in Calabar (Calabar Municipal, Cross River). The victim was taken to the hospital and is in critical condition."
conflibert,NIG27958,V,V,0.57318115234375,,,0.01,Military Forces of Nigeria (2015-2023),"On 19 February 2021, a soldier shot and wounded a truck driver at an army checkpoint in Omagwa (Ikwerre, Rivers) over the driver's refusal to pay a bribe of 200 naira. The association of tanker drivers staged a protest [coded separately]."
conflibert,NIG17461,V,V,0.5345882177352905,,,0.01,Unidentified Armed Group (Nigeria),"On 19 June 2020, unidentified gunmen killed the National Publicity Secretary of the Association of Community Pharmacists of Nigeria at his pharmacy in Abuja (Abuja LGA, FCT)."
conflibert,NIG18054,V,V,0.5249706506729126,,,0.01,Police Forces of Nigeria (2015-2023),"On 10 August 2020, policemen attacked a community leader with an axe in Odogunyan (Ikorodu, Lagos) for intervening in a dispute with tricycle union workers. Injuries reported."
conflibert,NIG32081,B,V,0.5010657906532288,,,0.01,Police Forces of Nigeria (2023-),"On 27 July 2023, policemen raided the hideout of an unidentified armed group and were engaged in an armed clash in Ahoada (Ahoada West, Rivers) coded to Akinima. One member of the group was killed, others escaped, the policemen recovered a rifle, ammunition, cartridges and some charms."
conflibert,NIG34649,E,B,0.5072561502456665,,,0.01,Islamic State West Africa Province (ISWAP),"On 14 January 2024, ISWAP claimed to have fired two mortal shells at the Nigerian Army's position in Nduva (Damboa, Borno). There were no fatalities."
conflibert,NIG29313,B,B,0.5143945217132568,,,0.01,Military Forces of Nigeria (2015-2023),"On 23 December 2022, troops of Operation Forest Sanity on an ambush patrol clashed with a Kaduna militia at Buruku (Chikun, Kaduna), Birnin Gwari general area and Giwa LGA [coded separately]. 8 militiamen were killed; split across two events and coded as 4, four motorcycles and three mobile phones were recovered."
conflibert,NIG29896,V,V,0.545107901096344,,,0.01,Military Forces of Nigeria (2015-2023),"On 7 February 2023, soldiers invaded a market and beat up some traders in Ado-Ekiti (Ado Ekiti, Ekiti) after they were invited by one trader to intervene in a civil matter. Some customers were also harassed by the soldiers."
conflibert,NIG28205,V,V,0.5547612905502319,,,0.01,Oyo State Park Management System,"On 27 July 2022, Oyo state park management system attacked a transport company, wounded the manager and vandalized properties along New Ife road in Egbeda LGA (Oyo). The reason for the attack is unknown."
conflibert,NIG22565,B,B,0.505466103553772,,,0.01,Military Forces of Nigeria (2015-2023),"On 10 November 2021, the Nigerian army claimed an ambush against Boko Haram/ISWAP militants in Pulka (Gwoza, Borno). The soldiers collaborated with the CJTF and local militia members. Four militants were killed, weapons were recovered and several others fled with gunshot wounds."
conflibert,NIG16431,V,V,0.5349087715148926,,,0.01,Ngbo Communal Militia (Nigeria),"On 17 February 2020 (or around), suspected Ngbo militias attacked a school in Agila (Ado LGA, Benue). No casualties reported."
conflibert,NIG33533,V,B,0.5253907442092896,,,0.01,Taraba Communal Militia (Nigeria),"On 25 October 2023, the Taraba militia attacked the Mayo Lope community, coded to Lau (Lau, Taraba). Casualties unspecified. No further details."
conflibert,NIG24883,V,V,0.5106003284454346,,,0.01,Unidentified Armed Group (Nigeria),"On 18 May 2022, armed individuals enforcing a sit in order killed a woman at PRODA junction along Enugu-Abakaliki highway, coded to Amorji-Nike (Enugu East, Enugu)."
conflibert,NIG25091,P,V,0.5237703323364258,,,0.01,Protesters (Nigeria),"On 3 June 2022, scores of supporters of former president Goodluck Jonathan protested at the national secretariat of the APC in Abuja (Abuja Municipal, FCT) to demand that the party chose the former president as its presidential candidate for the 2023 elections."
conflibert,NIG28694,B,V,0.5265111327171326,,,0.01,Military Forces of Nigeria (2015-2023),"On 14 November 2022, troops of Operation Hadin Kai clashed with Boko Haram militants [JAS faction] at Mafa axis (Mafa, Borno). 14 militants including one commander were killed."
conflibert,NIG23988,V,V,0.5433787703514099,,,0.01,Unidentified Armed Group (Nigeria),"On 4 March 2022, armed individuals attacked a catholic priest and shot him in the leg before abandoning him along the Enugu-Onitsha road (Enugu North, Enugu). The assailants demanded money from the victim, and took his phone in place of money. The victim was taken to the hospital for treatment."
conflibert,NIG33950,B,V,0.5120181441307068,,,0.01,Military Forces of Nigeria (2023-),"On 26 November 2023, troops of the Nigerian army responded to a distress call and raided the hideout of an unidentified armed group in Jalingo (Jalingo, Taraba). Two abductees were rescued, two members of the group were arrested and others fled. It is not clear if a clash occurred, casualties are unknown."
conflibert,NIG37993,S,V,0.5765824913978577,,,0.01,Government of Nigeria (2023-),"Security measures: On 1 August 2024, the Keffi Local Government imposed a 12-hour curfew in the LGA, coded to Keffi (Keffi, Nassarawa), due to looting and property destruction occasioned by the #EndBadGovernanceInNigeria demonstration in the area."
conflibert,NIG17363,V,V,0.503288984298706,,,0.01,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 12 June 2020, Boko Haram executed a police officer and a soldier in Borno (coded as Maiduguri LGA, Borno) who were abducted earlier."
conflibert,NIG27162,B,V,0.5135132074356079,,,0.01,Sokoto Communal Militia (Nigeria),"On 22 May 2020, Sokoto militia men clashed with police forces and a Garki vigilante group when they attempted to attack Garki village in Sabon Birni LGA ( Sokoto). Two militia men were killed."
conflibert,NIG26128,B,V,0.5241120457649231,,,0.01,Military Forces of Nigeria (2015-2023),"On 1 September 2022, Nigerian troops on a fighting patrol clashed with a Kaduna militia at Farin-Ruwa (Birnin Gwari, Kaduna). Two militiamen were killed while the others withdrew and fled."
conflibert,NIG26875,B,V,0.519025981426239,,,0.01,Military Forces of Nigeria (2015-2023),"On 4 January 2020, the Nigerian Army claimed it killed an unspecified number of presumed Boko Haram/ISWAP militants in a military operation in the Jakana and Mainok areas along the Maiduguri-Damaturu road (Kaga, Borno), coded as Mainok. They also claimed to have rescued 461 captives (100 men, 154 women and 207 children) from the insurgents. Fatalities coded as 3."
conflibert,NIG21852,V,V,0.5719558596611023,,,0.01,Islamic State West Africa Province (ISWAP) - Lake Chad Faction,"On 30 August 2021, ISWAP claimed an attack on a Christian town in Borno (location coded to Maiduguri, Maiduguri Metro). A church and school were burnt. No reported injuries or fatalities."
conflibert,NIG17629,V,V,0.6145056486129761,,,0.01,Police Forces of Nigeria (2015-2023),"On 7 July 2020, police officers shot at revenue task force officials in Aba (Aba South LGA, Abia). The revenue officials were involved in an argument when police officers intervened and started shooting. 1 revenue official was killed and another wounded."
conflibert,NIG31710,V,B,0.5193478465080261,,,0.01,Unidentified Armed Group (Nigeria),"On 15 June 2023, an unidentified armed group killed one person and abducted three others at Yimi community, Gwagwalada Area Council (FCT)."
conflibert,NIG24527,B,V,0.5450772643089294,,,0.01,Military Forces of Nigeria (2015-2023),"On 19 April 2022, Nigerian troops on an offensive patrol clashed with armed Fulani pastoralists in Atunbe, Madamu, Kaamen, Ude -Jor, Kasar, Tor-Tacha and River Yoyo in Katsina Ala LGA (Benue), coded to Katsina-Ala. The militiamen fled with possible bullet wounds, firearms and cutlasses were recovered after a search around the area by the troops."
conflibert,NIG22154,V,V,0.5133459568023682,,,0.01,IPOB: Indigenous Peoples of Biafra,"On 1 October 2021, unidentified gunmen enforcing IPOB sit at home order killed a driver and set his vehicle ablaze along the Owerri-Umuahia road (Owerri Municipal, Imo). The other occupants of the vehicles fled."
conflibert,NIG19274,B,V,0.521571159362793,,,0.01,Military Forces of Nigeria (2015-2023),"On 17 December 2020, ISWAP militants attacked the Army Super Camp in Cross Kauwa (Kukawa LGA, Borno) but were repelled by Nigerian troops. Conflicting fatality reports. Military sources report Nigerian troops killed four ISWAP militants and recovered weapons and ammunition while ISWAP sources report that a number of soldiers were killed and wounded."
conflibert,NIG37201,B,V,0.5055558681488037,,,0.01,Police Forces of Nigeria (2023-),"On 5 June 2024, police and KADVIS engaged a Kaduna militia in a firefight while attempting to abduct the Paramount Ruler of Ninzo Chiefdom at his palace in Fadan-Ninzo (Sanga, Kaduna). The armed group managed to escape into the forest, but the chief's wife could not be accounted for. There were no fatalities."
conflibert,NIG28507,B,V,0.500602662563324,,,0.01,Military Forces of Nigeria (2015-2023),"On 24 October 2022, the Nigerian Defense Headquarters claimed that soldiers and policemen on a fighting patrol clashed with suspected IPOB militants around Nkwerre-Inyi forest (Oji River, Enugu). The troops pursued the militants after they fled on sighting them, 2 SUV vehicles, 3 motorcycles and other items were recovered."
conflibert,NIG34112,B,B,0.5193886756896973,,,0.01,Military Forces of Nigeria (2023-),"On 5 December 2023, the Nigerian soldiers, CJTF and local hunters repelled Boko Haram (JAS) and engaged them in a firefight when attempting to invade a Fulani settlement near Malari neighborhood of Konduga (Konduga, Borno). One man, likely to be a bystander, was shot and wounded. There were no fatalities."
conflibert,NIG28971,V,V,0.5765467882156372,,,0.01,Unidentified Armed Group (Nigeria),"On 9 December 2022, an unidentified armed group that was enforcing a sit in order attacked the convoy of the APC house of representatives candidate for Mbaitoli/Ikeduru federal constituency at Ubomiri (Mbaitoli, Imo). One person was shot and killed on the spot, the state's commissioner for solid minerals sustained machete cuts, other sources reported that the attack was politically motivated."
conflibert,NIG31886,S,V,0.5242300033569336,,,0.01,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,"On 9 July 2023, a Boko Haram [JAS Faction] commander and one of his lieutenants surrendered to Nigerian troops in Borno, coded to Maiduguri (Maiduguri Metro, Borno)."
conflibert,NIG29165,B,V,0.583960771560669,,,0.01,IPOB: Indigenous Peoples of Biafra,"On 10 December 2022, suspected IPOB militants numbering over 10 from a faction led by Simon Ekpa who were enforcing a sit in order clashed with policemen at New Market in Enugu (Enugu North, Enugu). A police van was set ablaze by the assailants, one source report that a pregnant woman was killed by a stray bullet."
conflibert,NIG23779,B,V,0.5066506266593933,,,0.01,Military Forces of Niger (2021-2023),"Around 13 February 2022 (between 12 - 15 February), the Nigerien contingent of MNJTF carried out a combined air-ground operation involving air and artillery strikes and ground assaults against Boko Haram (JAS or ISWAP Lake Chad faction) in the areas of Jabulam (Mobbar, Borno) and Abadam (Abadan, Borno) in Nigeria, and Bague Kiessa [Bague Kiessa Koura], Dagaya, Boulayi, and Boula Gana (Bosso, Diffa) in Niger. About twenty militants were killed and weapons and ammo seized. Fatalities are split across six events."
conflibert,NIG38271,B,V,0.5233842730522156,,,0.01,Military Forces of Nigeria (2023-),"On 28 August 2024, a soldier attached to OPHD Sector 6 shot and killed a police DPO at a checkpoint around Dan Marke (Bukkuyum, Zamfara). The police DPO was traveling to attend a conference when the soldier stopped him and shot him in the head despite identifying himself as a police officer."
conflibert,NIG33121,E,V,0.5031693577766418,,,0.01,Military Forces of Nigeria (2023-),"On 11 October 2023, the Nigerian Airforce launched airstrikes at ISWAP fighters on motorcycles around BUK village in Timbuktu Triangle, coded to Sambisa Forest Reserve (Gwoza, Borno). Five ISWAP fighters were killed in the strike."
conflibert,NIG31865,S,V,0.5773850679397583,,,0.01,Military Forces of Nigeria (2023-),"Property destruction: Around 26 June 2023 (between 15 June - 6 July), troops of the joint task force of Operation Delta Safe destroyed 30 illegal refining sites across Bayelsa coded to Yenagoa (Yenagoa, Bayelsa), Cross River, Delta and Rivers states [coded separately]. 125 storage tanks, 227 ovens, 11 dugout pits and 21 wooden boats were recovered, 42 suspected saboteurs were arrested."
conflibert,NIG36514,V,V,0.5447717308998108,,,0.01,Unidentified Armed Group (Nigeria),"On 1 May 2024, an unidentified armed group shot and killed an APC chieftain in Kuje (Kuje, FCT) as he was returning from his farm. The victim was shot in the eye as he was driving, which led to an accident that killed him, three persons who were in the car with him were abducted and the fourth person escaped."
