event_id,notes,event_type,actor_norm,notes_len,quality_score
CAO6518,"Around 28 August 2022, Ambazonian separatists fired rockets at a military armored vehicle in Ngokuv and Dzekwa villages, coded to Jakiri (Jakiri, Bui, Nord-Ouest). The attack was carried out by five separatists' factions, the Airforce of Tadu, Black warriors of Dzekwa, the Unity warriors from Kumbo East, the Unity warriors of Dzekwa North and the Unity Warriors of Kumbo South West. Separatists also attacked the Gendarmerie post of Eyumojoeck (coded separately). 3 Cameroonian soldiers were killed in the two events. Fatalities are split across two events.",Explosions/Remote violence,Ambazonia,559,3
CAO9128,"On 8 July 2022, suspected fighters of the pro-Nigerian separatist group Biafra Nations League, detonated an IED against a military base in Archibong (Isangele, Ndian, Sud-Ouest) killing two soldiers. They also stole a military gunboat. The attack came one day after the divisional officer for Isangele issued a curfew, prohibiting cross-border movements after 20:00hrs. The recent attack in the peninsula has caused the temporal suspension of activities of oil firms operating offshore in the Cameroonian waters.",Explosions/Remote violence,Other Actors,512,3
CAO8678,"On 28 March 2024, an IED planted by suspected Boko Haram (JAS) (likely) militants detonated on travelling military forces from the Rapid Intervention in Ouro Kesoum, along the Amchide - Kolofata road, coded to Amchide (Kolofata, Mayo-Sava, Extreme-Nord). There were no fatalities or injuries. The military armored vehicle sustained minor damages. The explosive detonated on the same road where the military had cleared another IED earlier in the day (coded as a separate event).",Explosions/Remote violence,Boko Haram / ISWAP,478,3
CAO13660,"On 14 April 2024, Ambazonian Separatists detonated a roadside IED targeting a state security forces, coded as the military forces from the Rapid Intervention, in Nen (Batibo, Momo, Nord-Ouest) damaging one military vehicle. In retaliation, the military forces gathered and beat some 80 civilians. The military forces shaved the heads of some civilians and arrested 3 civilians. There were no fatalities. No information on the injuries.",Explosions/Remote violence,Ambazonia,435,3
CAO8662,"On 17 March 2024, an IED planted by suspected Boko Haram (JAS) (likely) militants detonated during a defusal operation carried out by the military forces from the Rapid Intervention in Bourvare (Kolofata, Mayo-Sava, Extreme-Nord) killing 1 civilian. The civilian was a former militant who was assisting the military forces to carry out the operation. During the operations, the military forces defused at least 5 IEDs.",Explosions/Remote violence,Boko Haram / ISWAP,418,3
CAO15257,"On 9 October 2024, a large group of residents, mainly women, protested and blocked the main road connecting Donga Mantung to Magba in Sop (Jakiri, Bui, Nord-Ouest) after attacks carried out by suspected Mbororo militia in the community (coded as separate events). The protesters demanded an end to the violence and called for immediate action from local authorities, including for the Mayor of Ndu to deliver their demands to the government. The protesters said they would camp on the road until their needs were met.",Protests,Protesters/Rioters/Civilians,517,3
CAO15261,"On 9 October 2024, commercial motorbike riders protested against the mandatory order from the mayor to wear taxi identification jackets provided by MTN company in Douala (Douala 1, Wouri, Littoral). Some commercial bike riders refused to wear the jacket, citing the cost of these jackets. The drivers also believe the partnership between the mayor and the MTN company is a form of corruption that drivers to not wish to be part of.",Protests,Protesters/Rioters/Civilians,431,3
CAO3694,"On 22 September 2020, hundreds of supporters of the MRC (opposition) party demonstrated in several neighbourhoods of Douala city (Wouri, Littoral) to demand the departure of president Paul Biya. The military forces fired tear gas to disperse them. One demonstrator was reportedly killed, several injured, and 31 arrested. The MRC says 'several' were killed in those demonstrations throughout the Littoral region.",Protests,Protesters/Rioters/Civilians,412,3
CAO2917,"On 30 January 2020, a group of teachers demonstrated in Yaounde city (Mfoundi, Centre), during the funeral of a teacher recently killed by one student. They denounced the increasing violence against teachers. The police forces intervened and fire tear gas and water canon at the demonstrators to disperse them, killing one teacher and injuring at least 13 people. 15 demonstrators were shortly arrested.",Protests,Protesters/Rioters/Civilians,403,3
CAO11965,"On 24 October 2023, business owners protested at the Tiko Council building in Tiko (Fako, Sud-Ouest) against municipal council workers closing their shops to respect the Monday Ghost Town imposed by the Ambazonian Separatists. This protest came after a meeting two weeks ago where the Governor of Sud-Ouest, Divisional Officers, and Mayors verbally threatened business owners to be open on Mondays.",Protests,Protesters/Rioters/Civilians,398,3
CAO3096,"On 16 March 2020, commercial motorcycle drivers clashed with the police forces as they demonstrated in Ngaoundere town (Vina, Adamaoua) against abusive extortion of money. The previous day, the security forces reportedly seized hundreds of motorcycles from drivers who violated the time limit given to them to operate. One person was reportedly killed during the confrontation, and five others were injured. The demonstrators reportedly partly damaged the police office and police intervention cars.",Riots,Protesters/Rioters/Civilians,499,3
CAO15368,"On 5 October 2024, a communal dispute escalated between 2 families in Kousseri (Kousseri, Logone-et-Chari, Extreme-Nord). The fighting families had 10 injured with sharp weapons before the military forces intervened. One of the families had protected themselves from floods causing the water to flow into the other family's home. The clashes caused considerable material damage. The military intervention resulted in 3 more injuries with bullet wounds. There were no fatalities.",Riots,Protesters/Rioters/Civilians,478,3
CAO7985,"On 23 October 2023, people demonstrated in front of the premises of the Senior Divisional Officer's office and some major streets in Mbouda (Mbouda, Bamboutos, Ouest) demanding the release of a man arrested by the security forces. The demonstrators say he is the legal heir to the Bagam throne and should be freed and accuse the Fon approved by the authorities is not the legal heir. The demonstrators burnt 2 bikes, vandalized a store and caused disruptions on the roads.",Riots,Protesters/Rioters/Civilians,472,3
CAO13332,"On 6 April 2024, ISWAP or Boko Haram militants attacked Ngourkouma, coded to Blangoua (Blangoua, Logone-et-Chari, Extreme-Nord) but were met with resistance from local populations who seized weapons from the militants. There were no fatalities. No information on the injuries. The militants threatened to attack their children if the weapons were not returned. This led to the displacement of hundreds to neighboring villages.",Riots,Protesters/Rioters/Civilians,426,3
CAO6757,"On 17 November 2022, students of Government Technical High School threw rocks against military forces in Nkwen (Bamenda - Nkwen, Mezam, Nord-Ouest) during a demonstration over the continued harassment of the military forces in charge of the school's security. The group also destroyed school property. One soldier injured. Military forces later tortured two students, leaving one of them unconscious (coded separately).",Riots,Protesters/Rioters/Civilians,419,3
CAO14941,"On 18 September 2024, police and gendarmerie forces mass arrested civilians from their homes and from the street in Molyko, Mile 17, Bomaka, Sandpit and other neighborhoods in Buea (Buea, Fako, Sud-Ouest) for an unknown reason prior to the screening of a documentary film on President Paul Biya's leadership. Most of those arrested spent the night at the Muea and Molyko Police stations while a few were transferred to the gendarmerie legion office. The arrests wer taking place during the Separatist-imposed two week lockdown in Buea subdivision.",Strategic developments,State forces (Cameroon),547,3
CAO8656,"Other: On 22 March 2024, the Minister of Territorial Administration banned the activities of opposition parties Political Alliance for Change and the Political Alliance for Transition, coded to Yaounde (Yaounde 1, Mfoundi, Centre). The two political associations are said to be illegal. The ban comes after the leaders were suspected of meeting with Separatist leaders at the Kondengui Central Prison. The associations are banned from holding public meetings, press conferences, and consultations to recruit new members.",Strategic developments,Other Actors,520,3
CAO9538,"Other: On 20 October 2022, suspected Ambazonian Separatists from the Restoration Forces, intercepted a joint field mission consisting of international and local NGO staff around the communities of Gungong in the Bali subdivision, coded to Bali (Bali, Mezam, Nord-Ouest). The fighters harassed the staff and detained them for about 50 minutes, then demanded 1,000 CFA francs from each employee. The staff were eventually able to leave, but were verbally threatened with being killed if they returned to the community.",Strategic developments,Ambazonia,516,3
CAO9837,"Non-violent activity: On 23 November 2022, Ambazonian Separatists fighters, including those from the Restoration Forces, asked drivers of private public transport vehicles on the Mamfe-Ekok road, coded to Mamfe (Manyu, Sud-Ouest) to donate the sum of 1,500,000cfa. They explained that this money was to buy bullets that they would use to stop the numerous extortions of money from drivers by one of the Ambazonian Separatists commanders they intended to eliminate and also for their own support.",Strategic developments,Ambazonia,495,3
CAO9822,"Other: On 19 November 2022, Ambazonian Separatists arrived at a funeral ceremony in Inokun in Eyumodjock commune, coded to Eyumojock (Manyu, Sud-Ouest) and fired sporadic gunshots in the air that scared the population away, abandoning the corpse. This happens because family members have not met with fighters demands of 50000cfa payment to them before each burial within the community. Fighters retreated after the intervention of military forces who were at a nearby vehicle checkpoint.",Strategic developments,Ambazonia,488,3
