model,event_id,true_label,pred_label,pred_conf,logits,notes,latency_sec,actor_norm
conflibert_finetuned_fewshot_v1,CAO6043,S,R,0.28221285343170166,"[0.16736353933811188, 0.0952567383646965, 0.12616248428821564, 0.28221285343170166, 0.13448548316955566, 0.19451889395713806]","Looting: On 24 April 2022, Boko Haram elements looted goods and burned a church in the village of Bargaram (Hile-Alifa, Logone-et-Chari, Extreme-Nord).",0.001,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO7698,S,R,0.2444591224193573,"[0.17805692553520203, 0.11206281930208206, 0.13342440128326416, 0.2444591224193573, 0.13260233402252197, 0.19939440488815308]","Looting: On 15 August 2023, Boko Haram (JAS) (likely) militants looted civilian residents in Sandawadjiri (Kolofata, Mayo-Sava, Extreme-Nord). The militants stole two motorbikes, food items, clothing and other valuables.",0.001,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO7826,S,E,0.20593613386154175,"[0.1839657425880432, 0.20593613386154175, 0.17466802895069122, 0.15643516182899475, 0.14584772288799286, 0.13314726948738098]","On 20 September 2023, 10 suspected members of Boko Haram (JAS) (likely) militants, including a man, 4 women, 3 girls and 2 boys surrendered to the security forces in Amchide (Kolofata, Mayo-Sava, Extreme-Nord). All are Cameroonian nationals.",0.001,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO13380,B,B,0.1974458396434784,"[0.1974458396434784, 0.19124536216259003, 0.16225388646125793, 0.15472564101219177, 0.1520852893590927, 0.14224396646022797]","On 4 April 2024, the security forces, coded as the military forces shot and killed an unknown Separatist commander at the market in Agyati (Bafut, Mezam, Nord-Ouest). The Separatist tried to escape leading to the military forces shooting him. He died of his injuries.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO15779,V,B,0.198140949010849,"[0.198140949010849, 0.17897282540798187, 0.14296559989452362, 0.16982848942279816, 0.14339980483055115, 0.16669228672981262]","On 5 October 2024, the military forces from the Rapid Intervention beat and injured 5 civilians (2 women and 3 men) at their private residence in Diche II (Widikum, Momo, Nord-Ouest) after a failed military operation to arrest an Ambazonian Separatists. The military forces also broke into the private residence and destroyed a herbalist's property.",0.001,Military Forces of Cameroon (1982-) Rapid Intervention Battalion
conflibert_finetuned_fewshot_v1,CAO12389,V,B,0.2022322565317154,"[0.2022322565317154, 0.15589261054992676, 0.1327321082353592, 0.1960800141096115, 0.14284253120422363, 0.1702204793691635]","On 3 September 2023, Ambazonian Separatists killed two teachers, whom they had abducted, in Mbessa (Boyo, Nord-Ouest). They were accused of attending a meeting to plan for the resumption of school in Belo commune. The bodies of the teachers were given to their families to bury.",0.001,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO15728,S,E,0.20182520151138306,"[0.19217585027217865, 0.20182520151138306, 0.16077841818332672, 0.15270967781543732, 0.14751683175563812, 0.14499406516551971]","On 29 September 2024, the military forces from the Rapid Intervention arrested some 150 civilians in Bamenda (Bamenda 3, Mezam, Nord-Ouest) during a military operation to dislodge Separatist hideouts. The military forces extorted an unspecified amount of money from some civilians to have their immediate release. Over 50 motorbikes were also confiscated.",0.001,Military Forces of Cameroon (1982-) Rapid Intervention Battalion
conflibert_finetuned_fewshot_v1,CAO4504,B,E,0.19691458344459534,"[0.18715879321098328, 0.19691458344459534, 0.16557888686656952, 0.16344596445560455, 0.14785981178283691, 0.13904191553592682]","On 26 March 2021, the army's rapid intervention battalion engaged in fire fights with Ambazonian separatists in Kumbo town, Jakiri subdivision (Bui, Nord-Ouest). 4 separatists were killed, and several others injured.",0.001,Military Forces of Cameroon (1982-) Rapid Intervention Battalion
conflibert_finetuned_fewshot_v1,CAO10533,B,E,0.20468538999557495,"[0.18368449807167053, 0.20468538999557495, 0.17260782420635223, 0.15184707939624786, 0.1438235491514206, 0.14335161447525024]","On 9 October 2022, state security forces, coded as military, clashed with Ambazonian Separatists in Acha Tugui (Momo, Nord-Ouest). 2 militants were killed.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO3353,V,B,0.2041907012462616,"[0.2041907012462616, 0.18410825729370117, 0.1478055864572525, 0.16563303768634796, 0.15239568054676056, 0.14586684107780457]","On 8 June 2020, Boko Haram attacked herders 4 km away from the village of Sagme (Mayo-Sava, Extreme-Nord), killing one and injuring another. They took away sheep.",0.001,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO15644,V,R,0.24180608987808228,"[0.1612696498632431, 0.1605241447687149, 0.14866234362125397, 0.24180608987808228, 0.13304264843463898, 0.15469509363174438]","On 26 September 2024, Ambazonian Separatists riding on motorbikes abducted 3 students who were on their way to school along a tertiary road in the Menteh, Mile 4 neighborhood in Bamenda - Nkwen (Bamenda 3, Mezam, Nord-Ouest). The Separatists accused the students of not complying with the Separatists-imposed school resumption 2 October 2024.",0.001,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO13239,S,V,0.20137839019298553,"[0.17087015509605408, 0.14518551528453827, 0.12846004962921143, 0.2006792575120926, 0.1534266471862793, 0.20137839019298553]","Looting: Around 25 April 2024 (as reported), Boko Haram (JAS) (likely) militants looted 3 bicycles and clothing in Blamari neighborhood in Limani (Mora, Mayo-Sava, Extreme-Nord).",0.001,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO3498,V,E,0.20119737088680267,"[0.18898506462574005, 0.20119737088680267, 0.16034799814224243, 0.15535032749176025, 0.1503678262233734, 0.14375150203704834]","On 21 July 2020, military forces opened fire around a food market in Bamenda town (Mezam, Nord-Ouest). One person was reportedly killed and property destroyed.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO13669,B,E,0.2062266319990158,"[0.17023532092571259, 0.2062266319990158, 0.1881246268749237, 0.1529512256383896, 0.14972653985023499, 0.1327357441186905]","On 15 April 2024, security forces, coded as the military forces, clashed with the Ambazonian Separatists from the Restoration forces faction along a secondary road in Likoko (Muyuka, Fako, Sud-Ouest). 2 Separatists were killed. No information on the injuries.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO2838,V,E,0.19268852472305298,"[0.18082301318645477, 0.19268852472305298, 0.18044902384281158, 0.1544369012117386, 0.15017485618591309, 0.1414276510477066]","On 13 January 2020, military forces attacked the village of Ngemsibaa, in Oku subdivision (Boyo, Nord-Ouest) [coded: Oku], and burnt houses. No fatality and/or casualty reported.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO9823,B,E,0.20157819986343384,"[0.17121855914592743, 0.20157819986343384, 0.1857173591852188, 0.15635794401168823, 0.1526690423488617, 0.13245899975299835]","On 20 November 2022, military forces ambushed and clashed with Ambazonian Separatists, including members of the ADF, at an informal checkpoint they set up in Teke, Kumba 2 commune, coded to Matoh (Meme, Sud-Ouest). The fighters retreated, abandoning a bike they had seized from a civilian which the military then burned. No casualties.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO8055,S,R,0.2651597261428833,"[0.1607416570186615, 0.09915845841169357, 0.12882889807224274, 0.2651597261428833, 0.1252775490283966, 0.2208337038755417]","Property destruction: On 29 October 2023, suspected Boko Haram (JAS) (likely) militants destroyed motor pumps in civilian farms in Yamgazawa (Mayo-Moskota, Mayo-Tsanaga, Extreme-Nord).",0.001,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO8924,B,E,0.20959922671318054,"[0.1818787306547165, 0.20959922671318054, 0.17435549199581146, 0.15024982392787933, 0.14898483455181122, 0.13493193686008453]","On 29 May 2022, the military forces in a joint operation with the self-defense militia (COVI) ambushed Ambazonian Separatist fighter at a checkpoint in Ngarum (Ndu, Donga-Mantung, Nord-Ouest). 1 separatist was killed.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO14724,B,E,0.20807278156280518,"[0.17742691934108734, 0.20807278156280518, 0.1777278184890747, 0.14276853203773499, 0.16083058714866638, 0.13317342102527618]","On 26 August 2024, the military forces from Cameroon clashed with the military forces from Chad at the military barracks in Darak (Darak, Logone-et-Chari, Extreme-Nord) during a joint military operation in the Lake Chad area. There were no fatalities. 1 unidentified soldier was injured.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO5534,S,R,0.20623798668384552,"[0.1727777123451233, 0.18949878215789795, 0.14517447352409363, 0.20623798668384552, 0.13293787837028503, 0.15337316691875458]","Movement of forces: On 29 September 2021, residents saw a massive assembling of Boko Haram fighters during the night in Danbore village, 7 kilometers away from Sagme village, Fotokol subdivision (Logone-et-Chari, Extreme-Nord).",0.001,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO15107,V,B,0.20220164954662323,"[0.20220164954662323, 0.19208985567092896, 0.1534155160188675, 0.15633462369441986, 0.14855262637138367, 0.1474056839942932]","On 23 September 2024, Boko Haram (JAS) (likely) militants shot and killed 1 farmer in Bourvare (Kolofata, Mayo-Sava, Extreme-Nord) while the other farmers escaped without injuries.",0.001,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO12518,S,B,0.20257766544818878,"[0.20257766544818878, 0.18750512599945068, 0.15188439190387726, 0.15292967855930328, 0.14638373255729675, 0.15871940553188324]","On 11 May 2023, state security forces (coded as military) detained 34 civilians in Mosongesele (Ndian, Sud-Ouest). They were released 2 hours later.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO3431,E,E,0.20399610698223114,"[0.16866019368171692, 0.20399610698223114, 0.18588204681873322, 0.16138511896133423, 0.14641286432743073, 0.13366356492042542]","On 2 July 2020, an IED exploded in Yaounde city (Mfoundi, Centre), injuring at least 4 civilians (around 20 injured, according to other sources). Perpetrators unknown.",0.001,Unidentified Armed Group (Cameroon)
conflibert_finetuned_fewshot_v1,CAO7396,V,B,0.19968384504318237,"[0.19968384504318237, 0.19342298805713654, 0.1489233821630478, 0.15192165970802307, 0.15761961042881012, 0.1484285444021225]","On 12 June 2023, Boko Haram [JAS] militants attacked Kassa (Ngaoundal, Djerem, Adamaoua). The militants beheaded a man. 2 children are believed to have been abducted. The militants stole items and food.",0.001,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO8686,R,R,0.27132683992385864,"[0.1842382699251175, 0.11653344333171844, 0.11359978467226028, 0.27132683992385864, 0.1396537572145462, 0.1746479570865631]","Around 24 March 2024 (month of), youths chased landlords and farmers from their land properties in Mondoli (Limbe 3, Fako, Sud-Ouest). The youths question the ownership of these lands saying they are native land. The youth also set up a toll gate to extort money and products from the farmers.",0.001,Rioters (Cameroon)
conflibert_finetuned_fewshot_v1,CAO3374,B,E,0.3002411425113678,"[0.15195730328559875, 0.3002411425113678, 0.1603415459394455, 0.13484185934066772, 0.12728020548820496, 0.1253378689289093]","Around 13 June 2020 (between 11 - 15 June), the military forces killed 13 suspected Ambazonian separatists during an operation in 5 villages of Mezam subdivision including Bali (Mezam, Nord-Ouest). Fatalities split between five events.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO6483,V,B,0.20151755213737488,"[0.20151755213737488, 0.1936637908220291, 0.13742658495903015, 0.1593240350484848, 0.15325766801834106, 0.15481036901474]","On 14 August 2022, Boko Haram (JAS) (likely) fighters attacked the village of Ouzal (Koza, Mayo-Tsanaga, Extreme-Nord) wounding 1 person with a machete.",0.001,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO4669,V,B,0.19668732583522797,"[0.19668732583522797, 0.18633364140987396, 0.14320217072963715, 0.1555207073688507, 0.15077105164527893, 0.1674850583076477]","Around 15 May 2020 (month of), the military forces raided Njembo village, Mbengwi town, Mbeggwi subdivision (Momo, Nord-Ouest), killing one person.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO5725,V,B,0.19610773026943207,"[0.19610773026943207, 0.18665054440498352, 0.15274250507354736, 0.16343283653259277, 0.1535571813583374, 0.14750920236110687]","On 27 October 2021, the military forces alongside Fulani militiamen attacked and killed a 15 year old boy in Ngarbuh village, near Ntamruh, Ndu subdivision (Donga-Mantung, Nord-Ouest). He was accused of collaborating with Ambazonian separatists fighters.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO4522,V,B,0.20463116466999054,"[0.20463116466999054, 0.18891508877277374, 0.14595195651054382, 0.16179446876049042, 0.1506795883178711, 0.14802764356136322]","On 3 April 2021, Boko Haram fighters nightly attacked Makoulde village, Mora subdivision (Mayo-Sava, Extreme-Nord). They killed 2 people, burnt about 10 houses down, and took away cattle and goods.",0.001,Islamic State West Africa Province (ISWAP) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad
conflibert_finetuned_fewshot_v1,CAO4773,V,E,0.2393641322851181,"[0.15847356617450714, 0.2393641322851181, 0.144232839345932, 0.17542019486427307, 0.1294272243976593, 0.15308202803134918]","Around 15 September 2020 (month of), the military forces attacked and severely beat up a group of civilians carrying out community work in Mefah-Tembei village, Batibo subdivision (Momo, Nord-Ouest).",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO6135,B,E,0.2256605327129364,"[0.19854579865932465, 0.2256605327129364, 0.15052546560764313, 0.12677977979183197, 0.1522415578365326, 0.14624682068824768]","On 1 June 2022, Cameroonian military forces conducted a raid to dislodge Ambazonian Separatists at their hideout and killed two Separatists including one former fighter in Nyikob, coded to Njikwa (Momo, Nord-Ouest). The former fighter had laid down his weapons 2 years prior to his death, three other fighters were arrested.",0.001,Military Forces of Cameroon (1982-)
conflibert_finetuned_fewshot_v1,CAO4334,B,E,0.21718008816242218,"[0.1750277429819107, 0.21718008816242218, 0.17867372930049896, 0.14088523387908936, 0.15604157745838165, 0.13219156861305237]","On 4 February 2021, the military forces engaged in a fire fight with Ambazonian separatists in Mbalangi village (Meme, Sud-Ouest), as they tried to remove a road blockade erected by separatists in order to enforce a lockdown in the area. No fatality and/or casualty reported.",0.001,Ambazonian Separatists (Cameroon)
conflibert_finetuned_fewshot_v1,CAO5627,B,E,0.19639495015144348,"[0.1845499873161316, 0.19639495015144348, 0.17171187698841095, 0.15368255972862244, 0.1527004987001419, 0.14096009731292725]","Around 24 October 2021 (as reported), the military forces opened fire on BNL fighters who were erecting barricades in Cameroon-Nigeria border area in Bakassi Peninsula, Kombo Abedimo subdivision (Ndian, Sud-Ouest). 2 BNL fighters were killed.",0.001,Military Forces of Cameroon (1982-)
